run,timescale_ratio_mean,timescale_ratio_median,head_adapts_faster,residual_grad_proxy_min,residual_grad_proxy_mean,residual_grad_bounded_away_from_zero
gelu_bn_False_lr_base,37.85573700243165,3.807912603386204,True,0.0001517023434893703,0.006461304225353764,True
linear_bn_False_lr_base,149.10615948168564,39.82408959336821,True,5.121336457813474e-06,0.005797490277025777,True
relu_bn_False_lr_base,290.0554546614831,85.22218833117502,True,1.3925329222686524e-07,0.0038330200495178294,True
relu_bn_False_lr_large,93.88956805628743,0.043994282275153965,True,4.5075571969080435e-10,0.003381774806590775,True
relu_bn_False_lr_small,653.0859946581419,504.51439324321035,True,7.323944308588521e-05,0.0077282762457263855,True
relu_bn_True_lr_base,0.9195846447439705,0.8662888620775602,False,0.021673259872484807,0.050970804102672046,True
relu_bn_True_lr_large,0.5460741273309467,0.5239926347052679,False,0.0034900593647948287,0.012029914719089372,True
relu_bn_True_lr_small,1.5321228254465982,1.4547896216706317,True,0.06174895110528742,0.09523523979236621,True
swish_bn_False_lr_base,31.39005320820692,6.469470194870679,True,0.0001357478858933089,0.006219620191222571,True
swish_bn_False_lr_large,84.99645943652605,0.48892805436302655,True,1.0783628899752279e-05,0.004824561052473109,True
swish_bn_False_lr_small,124.42464290946106,40.25197288074328,True,0.0002345961996202306,0.011562531961580063,True
swish_bn_True_lr_base,0.8827169920587531,0.8172894334181625,False,0.02665129993721052,0.05018234082434194,True
swish_bn_True_lr_large,0.41443209892746935,0.39143625797680526,False,0.003495693179127342,0.010754183314079733,True
swish_bn_True_lr_small,2.687216000923088,2.57890717083911,True,0.1301314308464264,0.18842033266130465,True
