orbit_index,backbone_spread,head_spread,ratio
0,0.012832371607111188,0.0005526200330883745,23.220967099936907
1,0.03364703416295977,0.0016062485611129903,20.947588671858675
2,0.012645796513022181,0.0004497631921884723,28.116566078895552
3,0.016673665085176665,0.0007285091991256318,22.88737754470178
4,0.02043903644209483,0.000869618747466763,23.503445046044174
5,0.01661923309756842,0.0006470630617960706,25.68410110049855
6,0.010683632049387779,0.0004348322156353945,24.569550427114564
7,0.02091826652814724,0.0008886638053907265,23.539010367311995
8,0.027100524720569022,0.0013426056015732933,20.185022830838825
9,0.020483597508774588,0.0008541235537704654,23.982007542528546
10,0.01709098803414074,0.0007573408870169325,22.567100663823823
11,0.014041481813786763,0.0006474418340998983,21.687634431759943
12,0.03209418940086461,0.001488702591946458,21.558496354132025
13,0.0529791846190574,0.0028211184722362823,18.779496550905623
14,0.02888462066102843,0.0013390728667932552,21.570611560668745
