objective,source,slice_dim,metric_lambda_min,metric_lambda_max,riemann_norm_christoffel,riemann_norm_cubic_form,routes_rel_diff,dg_norm,max_abs_sectional_curvature
vicreg,barlowtwins_resnet50,6,0.6445575942530857,0.7689949394774598,1.2682632970556862e-05,1.2682632970657694e-05,3.689626497054276e-10,0.018275986185562466,3.5546562742826172e-06
vicreg,vicreg_resnet50,6,0.6716224107161336,0.7936593926301589,2.5339915757804545e-07,2.5339915733791177e-07,1.8327151575323013e-08,0.001371091953982342,7.7067668105797e-08
