activation,init,epoch,M_over_Heff_mse,mse_lambda_min_min,mse_frac_neg,cos_lambda_min_min,cos_frac_neg,tan_lambda_min_min,H_L_lambda_min_min,power_iteration_lambda_min,representation_variance,condition_number,elapsed_s
gelu,collapsed,0,0.2142030800640792,-0.0004569283171090717,1.0,-0.0022777531547788815,1.0,-0.0002508067160008692,-8994.962822170031,-1.7988175240235548e-06,0.015561867806200797,475683.4815705128,5199.1
linear,collapsed,0,2.015171759333599e-15,8.094382595190147e-13,0.0,-0.002279020433799542,1.0,-0.000131087681520615,-561.7433490250055,-1.805425983114617e-06,0.014554555169664897,283107.14735576924,5588.9
relu,collapsed,0,1.7048153541164101e-15,-1.0766597343936728e-16,1.0,-0.0027866571562178283,1.0,-0.0011561350214834708,-2082.606035935863,2.135424993904636e-06,0.014538138660673912,282068.3207532051,4739.0
